종목명,현재가,전일비,등락률,NAV,3개월수익률,거래량,거래대금(백만)
HANARO 200TR,"56,545",405,+0.72%,"56,635",+31.37%,"6,066",342
TIGER 미국S&P500배당귀족,"12,130",50,-0.41%,"12,094",+4.28%,"42,453",515
HANARO 25-12 은행채(AA+이상)액..,"10,275",0,0.00%,"10,271",+0.83%,587,6
1Q 25-08 회사채(A+이상)액티브,"109,075",20,+0.02%,"109,070",+0.70%,816,88
KIWOOM 25-09 회사채(AA-이상)액..,"51,495",0,0.00%,"51,500",+0.74%,0,0
ACE 중국본토CSI300,"28,770",100,+0.35%,"28,979",+7.90%,"2,206",63
ACE 미국빅테크TOP7 Plus레버리..,"28,700",140,+0.49%,"28,498",+62.18%,"51,438","1,477"
KODEX 배당가치,"17,300",65,+0.38%,"17,256",+30.26%,"22,533",388
KODEX 메타버스액티브,"8,160",130,+1.62%,"8,185",+16.11%,"31,963",260
TIGER 200선물레버리지,"19,375",270,+1.41%,"19,370",+70.73%,"198,741","3,840"
TIGER 배당커버드콜액티브,"11,980",55,+0.46%,"11,997",+22.53%,"36,595",438
BNK 26-06 특수채(AAA이상)액티..,"51,100",5,+0.01%,"51,094",+0.64%,1,0
TIGER 미국다우존스30,"30,155",200,-0.66%,"30,067",+10.93%,"10,331",311
마이티 26-09 특수채(AAA)액티브,"106,580",0,0.00%,"106,600",+0.72%,0,0
RISE 메타버스,"6,845",55,+0.81%,"6,827",+18.50%,"27,015",183
KODEX 미국S&P500데일리커버드콜..,"9,370",20,+0.21%,"9,299",+13.75%,"84,574",789
KODEX 반도체레버리지,"11,740",140,+1.21%,"11,802",+58.80%,"473,077","5,530"
KODEX 삼성전자채권혼합,"11,300",60,+0.53%,"11,305",+6.03%,"232,421","2,629"
KODEX 성장주,"17,655",175,+1.00%,"17,693",+27.28%,"23,852",420
TIGER 2차전지TOP10레버리지,"1,194",70,+6.23%,"1,192",+19.70%,"11,078,473","13,007"
TIGER KRX금현물,"10,130",60,+0.60%,"10,123",N/A,"387,461","3,914"
TIGER 차이나테크TOP10,"10,125",95,+0.95%,"10,123",N/A,"278,730","2,823"
PLUS 고배당주위클리커버드콜,"11,125",70,-0.63%,"11,137",+30.11%,"378,731","4,209"
KIWOOM 단기채권ESG액티브,"108,625",10,+0.01%,"108,626",+0.72%,"12,775","1,387"
KODEX K방산TOP10,"10,740",165,+1.56%,"10,742",N/A,"1,163,515","12,460"
RISE 코스닥150,"13,600",20,-0.15%,"13,679",+16.81%,"16,964",231
KODEX 금액티브,"9,885",55,+0.56%,"9,847",N/A,"399,625","3,948"
ACE 11월만기자동연장회사채AA-..,"10,670",10,-0.09%,"10,678",+0.80%,"17,693",188
TIGER 인터넷TOP10,"4,640",15,-0.32%,"4,642",+23.80%,"790,584","3,662"
RISE 미국S&P500(H),"15,225",10,-0.07%,"15,193",+18.30%,"25,493",387
TIGER 중국소비테마,"8,225",10,-0.12%,"8,233",+25.80%,"73,310",602
SOL 화장품TOP3플러스,"15,535",50,-0.32%,"15,558",+41.68%,"284,914","4,416"
TIGER 국채3년,"106,550",140,+0.13%,"106,507",+0.12%,"1,763",187
TIGER 토탈월드스탁액티브,"10,520",15,-0.14%,"10,494",N/A,"351,228","3,696"
SOL K방산,"24,750",520,+2.15%,"24,796",+35.80%,"183,932","4,533"
SOL KEDI메가테크액티브,"23,305",185,+0.80%,"23,315",+39.77%,"261,214","6,053"
RISE 미국테크100데일리고정커버..,"10,255",10,+0.10%,"10,186",+25.72%,"376,051","3,849"
TIGER 차이나CSI300레버리지(합..,"18,790",190,+1.02%,"19,166",+12.39%,"32,994",617
RISE 국고채3년선물인버스,"110,680",105,-0.09%,"110,701",+1.11%,5,0
RISE 2차전지TOP10인버스(합성),"33,875",780,-2.25%,"33,909",-12.55%,"209,005","7,170"
HANARO 종합채권(AA-이상)액티브,"114,670",0,0.00%,"114,702",-0.85%,287,32
ACE 미국반도체데일리타겟커버드..,"9,965",15,-0.15%,"9,956",+37.83%,"72,016",716
TIGER 미국초단기(3개월이하)국..,"9,635",25,-0.26%,"9,643",N/A,"220,110","2,122"
KODEX 미디어&엔터테인먼트,"13,830",55,+0.40%,"13,864",+20.98%,"184,980","2,559"
1Q 미국S&P500,"10,675",45,-0.42%,"10,647",+16.38%,"239,565","2,560"
TIGER 글로벌AI&로보틱스 INDXX,"13,145",5,-0.04%,"13,125",+20.09%,"57,005",748
RISE 대형고배당10TR,"24,060",135,+0.56%,"24,063",+34.26%,"198,283","4,765"
TIGER Fn메타버스,"7,740",90,+1.18%,"7,762",+19.33%,"37,959",293
RISE 코스닥150선물레버리지,"10,535",40,-0.38%,"10,513",+34.63%,"43,148",454
ACE 8월만기자동연장회사채AA-이..,"10,550",5,-0.05%,"10,560",+0.72%,"4,737",50
TIGER AI반도체핵심공정,"9,170",0,0.00%,"9,173",+26.03%,"410,495","3,752"
RISE ESG사회책임투자,"15,985",65,+0.41%,"16,049",+32.87%,"35,149",562
TIGER 글로벌4차산업혁신기술(합..,"18,430",60,+0.33%,"18,551",+21.25%,"27,288",502
ACE 미국주식베스트셀러,"19,070",15,-0.08%,"19,092",+32.81%,"195,885","3,758"
KODEX TRF5050,"16,670",5,-0.03%,"16,655",+6.75%,"33,337",554
HANARO Fn조선해운,"25,060",510,+2.08%,"25,154",+23.68%,"123,425","3,084"
KODEX 미국10년국채선물,"11,715",10,-0.09%,"11,713",-2.21%,"61,434",720
파워 200,"44,105",340,+0.78%,"44,146",+31.50%,63,2
KIWOOM 미국S&P500,"17,535",80,-0.45%,"17,491",+17.28%,"2,521",44
RISE 고배당,"17,205",25,-0.15%,"17,239",+32.10%,"65,225","1,124"
TIGER 증권,"9,615",85,-0.88%,"9,621",+67.50%,"800,862","7,646"
SOL CD금리&머니마켓액티브,"50,100",5,+0.01%,"50,097",+0.78%,"20,931","1,048"
SOL 미국S&P500ESG,"16,955",5,-0.03%,"16,826",+15.87%,"57,514",973
HANARO 머니마켓액티브,"51,785",10,+0.02%,"51,782",+0.75%,"1,615",83
RISE 버크셔포트폴리오TOP10,"12,305",75,-0.61%,"12,306",+2.06%,"67,509",830
ACE 미국30년국채선물레버리지(..,"5,260",15,+0.29%,"5,283",-5.67%,"148,621",779
TIGER 현대차그룹+펀더멘털,"34,200",0,0.00%,"34,294",+29.73%,"40,352","1,382"
TIGER Fn신재생에너지,"14,090",445,+3.26%,"14,088",+66.22%,"280,214","3,913"
ACE 단기채권알파액티브,"110,915",15,+0.01%,"110,926",+0.73%,"1,899",210
PLUS 신흥국MSCI(합성 H),"11,220",135,+1.22%,"11,251",+14.75%,"23,418",262
KODEX 미국달러선물인버스,"8,105",25,+0.31%,"8,129",+1.57%,"17,672",143
TIMEFOLIO 코스피액티브,"11,795",215,+1.86%,"11,769",+22.28%,"57,800",677
TIGER 코스닥150 레버리지,"10,525",30,-0.28%,"10,503",+34.80%,"207,948","2,185"
KoAct 글로벌AI&로봇액티브,"16,575",25,+0.15%,"16,541",+36.89%,"97,609","1,617"
TIGER 글로벌온디바이스AI,"11,425",70,-0.61%,"11,415",+30.31%,"55,641",636
KODEX 헬스케어,"19,285",245,-1.25%,"19,330",+16.46%,"446,984","8,622"
KODEX 차이나테크TOP10,"10,445",235,+2.30%,"10,484",N/A,"35,661",369
TIGER 경기방어,"11,825",55,-0.46%,"11,845",+19.27%,"10,535",124
TIGER 미국배당다우존스타겟커버..,"10,810",80,-0.73%,"10,789",+3.68%,"18,536",200
WON 25-09 회사채(AA-이상)액티..,"54,910",5,-0.01%,"54,915",+0.72%,112,6
TIGER 200선물인버스2X,"1,372",21,-1.51%,"1,372",-42.91%,"3,591,735","4,935"
KODEX 미국휴머노이드로봇,"13,260",75,+0.57%,"13,181",+39.23%,"680,250","9,020"
RISE 2차전지TOP10,"8,290",205,+2.54%,"8,289",+9.70%,"202,434","1,662"
HANARO Fn K-POP&미디어,"9,475",330,+3.61%,"9,472",+17.62%,"311,268","2,924"
RISE 중국본토대형주CSI100,"19,045",125,+0.66%,"19,126",+6.47%,"9,182",174
KODEX TRF7030,"19,560",20,+0.10%,"19,516",+10.21%,"19,164",374
KODEX 차이나휴머노이드로봇,"9,500",305,+3.32%,"9,508",N/A,"793,940","7,461"
RISE 미국배당100데일리고정커버..,"8,865",50,-0.56%,"8,824",+5.14%,"278,051","2,471"
KODEX 미국S&P500버퍼3월액티브,"10,045",20,-0.20%,"10,091",+9.64%,"4,871",48
PLUS 미국S&P500(H),"25,040",5,-0.02%,"24,991",+17.86%,"6,443",161
ACE 원자력테마딥서치,"32,100",615,+1.95%,"32,127",+58.72%,"47,443","1,505"
KODEX 배당성장채권혼합,"14,570",25,-0.17%,"14,549",+9.89%,"54,650",795
KoAct K수출핵심기업TOP30액티브,"10,650",130,+1.24%,"10,655",N/A,"610,533","6,466"
KODEX 미국나스닥AI테크액티브,"17,330",50,-0.29%,"17,235",+38.98%,"21,847",378
SOL 미국양자컴퓨팅TOP10,"18,040",5,+0.03%,"17,808",+82.63%,"381,231","6,834"
ACE 포스코그룹포커스,"5,500",125,+2.33%,"5,496",+14.36%,"1,263,107","6,889"
TIGER 레버리지,"25,120",340,+1.37%,"25,135",+71.07%,"132,390","3,318"
TIGER 코스피고배당,"19,950",55,-0.27%,"19,984",+34.63%,"40,158",801
ACE 주주환원가치주액티브,"16,240",90,-0.55%,"16,257",+19.84%,"68,982","1,117"
TIGER 200 헬스케어,"20,490",330,-1.59%,"20,525",+13.19%,"861,308","17,674"
KODEX 글로벌비만치료제TOP2 Plu..,"9,560",45,-0.47%,"9,584",+5.60%,"37,543",359
KIWOOM 미국나스닥100(H),"18,535",15,+0.08%,"18,480",+24.53%,"136,117","2,519"
KODEX 아시아달러채권ESG플러스..,"60,630",145,-0.24%,"60,515",+1.20%,63,3
ACE 글로벌인컴TOP10 SOLACTIVE,"10,905",45,-0.41%,"10,876",+5.61%,"24,882",271
ACE 중장기국공채액티브,"108,965",95,+0.09%,"108,991",+0.01%,447,48
KODEX WTI원유선물(H),"14,905",125,-0.83%,"14,882",+10.31%,"50,397",752
KODEX 코스피TR,"16,335",80,+0.49%,"16,364",+28.80%,"25,949",423
TIGER 일본엔선물,"8,880",20,+0.23%,"8,888",-6.14%,"205,191","1,818"
WON 대한민국국고채액티브,"58,520",80,+0.14%,"58,550",-2.03%,"1,605",93
SOL 조선TOP3플러스레버리지,"11,750",810,+7.40%,"11,725",N/A,"798,430","9,237"
HANARO CAPEX설비투자iSelect,"24,280",340,+1.42%,"24,321",+59.61%,"26,764",645
SOL 미국TOP5채권혼합40 Solacti..,"13,840",55,+0.40%,"13,767",+10.41%,"39,796",551
TIGER 글로벌비만치료제TOP2Plus,"8,855",145,-1.61%,"8,814",+1.41%,"64,699",573
TIGER 차이나글로벌리더스TOP3+,"10,525",140,+1.35%,"10,750",N/A,"74,415",779
KIWOOM 국고채30년액티브,"63,970",95,+0.15%,"64,027",-5.37%,"6,964",444
KIWOOM 미국달러선물인버스,"8,420",25,+0.30%,"8,450",+1.33%,321,2
KODEX 미국달러선물,"13,955",40,-0.29%,"13,949",-0.99%,"69,209",967
TIGER 미국S&P500레버리지(합성 ..,"49,200",120,-0.24%,"49,071",+39.46%,"4,363",214
KODEX 차이나H레버리지(H),"2,905",50,+1.75%,"2,922",+27.17%,"345,194","1,005"
TIGER 미국나스닥바이오,"22,430",400,-1.75%,"22,395",+9.76%,"27,594",619
KODEX Top10동일가중,"8,170",65,+0.80%,"8,176",+17.31%,"3,874",31
HANARO e커머스,"12,380",90,-0.72%,"12,393",+26.13%,"17,356",214
PLUS 미국채30년액티브,"49,645",0,0.00%,"49,471",-3.46%,"21,111","1,046"
SOL 한국형글로벌반도체액티브,"21,505",90,-0.42%,"21,455",+41.74%,"34,632",743
ACE AI반도체포커스,"15,515",95,+0.62%,"15,549",+27.99%,"101,765","1,579"
TIGER 차이나HSCEI,"13,385",95,+0.71%,"13,365",+10.59%,"21,930",293
KIWOOM 고배당,"15,425",180,-1.15%,"15,454",+37.89%,"264,079","4,073"
마이다스 코스피액티브,"26,150",40,+0.15%,"26,245",+28.49%,276,7
SOL 미국30년국채액티브(H),"8,685",35,+0.40%,"8,649",-2.20%,"9,549",82
TIGER 배당성장,"25,840",160,-0.62%,"25,865",+37.02%,"27,275",705
RISE 미국달러SOFR금리액티브(합..,"11,640",0,0.00%,"11,662",-1.27%,271,3
HANARO 200선물레버리지,"28,170",415,+1.50%,"28,188",+70.91%,"2,582",72
에셋플러스 글로벌플랫폼액티브,"15,235",80,+0.53%,"15,173",+37.40%,"12,576",191
KIWOOM 코리아밸류업,"12,630",120,+0.96%,"12,627",+30.41%,104,1
ACE 인도컨슈머파워액티브,"9,370",95,-1.00%,"9,421",+4.82%,"9,120",85
KODEX 미국S&P500버퍼6월액티브,"10,455",30,-0.29%,"10,500",N/A,"256,555","2,689"
KODEX 건설,"4,245",10,-0.24%,"4,256",+34.99%,"450,092","1,902"
KODEX iShares미국하이일드액티..,"11,215",20,-0.18%,"11,208",+2.36%,"70,765",794
SOL 자동차TOP3플러스,"11,045",95,-0.85%,"11,073",+16.47%,"57,305",636
RISE 국고채3년,"110,020",105,+0.10%,"109,982",+0.24%,103,11
KODEX 미국러셀2000(H),"13,285",110,-0.82%,"13,260",+18.86%,"11,401",151
TIMEFOLIO 미국S&P500액티브,"24,005",20,+0.08%,"23,919",+32.37%,"32,516",780
PLUS 우주항공&UAM,"24,245",80,+0.33%,"24,293",+35.57%,"30,517",738
아이엠에셋 200,"43,915",315,+0.72%,"43,992",+30.95%,"1,004",44
SOL 미국나스닥100,"13,520",40,-0.29%,"13,466",+22.93%,"33,164",448
ACE 삼성그룹섹터가중,"16,590",75,+0.45%,"16,601",+23.81%,"6,375",105
ACE 2월만기자동연장회사채AA-이..,"10,565",0,0.00%,"10,574",+0.76%,"3,880",40
KODEX 배당성장,"20,670",130,-0.62%,"20,694",+36.60%,"53,188","1,099"
ACE 200TR,"28,990",205,+0.71%,"29,029",+31.53%,"11,353",328
RISE 코리아금융고배당,"14,280",110,-0.76%,"14,282",+49.07%,"413,493","5,876"
KoAct 코리아밸류업액티브,"12,805",60,+0.47%,"12,776",+30.83%,"297,380","3,792"
PLUS 고배당주위클리고정커버드..,"12,560",75,-0.59%,"12,581",+36.18%,"122,873","1,541"
RISE 미국30년국채커버드콜(합성..,"8,750",10,-0.11%,"8,712",-1.86%,"27,292",238
TIGER 엔비디아미국채커버드콜밸..,"9,600",10,+0.10%,"9,577",+13.59%,"50,870",487
KODEX 친환경조선해운액티브,"24,540",720,+3.02%,"24,543",+27.62%,"46,046","1,123"
ACE 라이프자산주주가치액티브,"14,045",110,-0.78%,"14,097",+32.77%,"32,797",460
KODEX 미국S&P500금융,"17,870",260,-1.43%,"18,021",+10.37%,"25,921",467
PLUS 국고채10년액티브,"56,125",50,+0.09%,"56,115",-1.57%,113,6
TIGER 차이나전기차레버리지(합..,"6,270",100,+1.62%,"6,386",+19.00%,"26,533",165
KODEX TDF2030액티브,"13,185",20,-0.15%,"13,159",+4.63%,"29,064",382
TIGER 차이나바이오테크SOLACTIV..,"8,290",160,-1.89%,"8,274",+37.85%,"113,292",947
KODEX 차이나H,"23,360",255,+1.10%,"23,333",+10.79%,"13,761",321
PLUS 단기채권액티브,"117,830",15,+0.01%,"117,833",+0.74%,638,75
TIGER 200 건설,"4,415",25,-0.56%,"4,428",+46.73%,"533,080","2,346"
RISE 금융채액티브,"103,765",80,+0.08%,"103,745",+0.67%,"2,574",266
SOL 팔란티어커버드콜OTM채권혼..,"10,580",10,+0.09%,"10,530",N/A,"421,463","4,448"
RISE 미국AI밸류체인TOP3Plus,"14,300",105,-0.73%,"14,248",+52.68%,"56,102",800
ACE 글로벌자율주행액티브,"11,720",20,+0.17%,"11,713",+24.87%,"266,281","3,124"
PLUS 글로벌방산,"16,505",360,+2.23%,"16,486",+9.32%,"104,845","1,727"
HANARO MSCI Korea TR,"18,030",55,+0.31%,"18,092",+29.55%,100,1
KIWOOM 통안채1년,"104,650",10,+0.01%,"104,657",+0.67%,300,31
ACE 5월만기자동연장회사채AA-이..,"10,545",5,-0.05%,"10,549",+0.67%,"2,142",22
TIGER 차이나휴머노이드로봇,"10,300",185,+1.83%,"10,341",N/A,"320,623","3,289"
KODEX 보험,"12,115",175,-1.42%,"12,152",+48.52%,"305,073","3,693"
KODEX TDF2040액티브,"14,175",30,-0.21%,"14,139",+7.56%,"21,677",307
SOL 코리아밸류업TR,"12,820",65,+0.51%,"12,817",+31.49%,"25,332",323
KODEX 미국S&P500산업재(합성),"36,355",305,-0.83%,"36,418",+18.53%,"4,972",181
WON 200,"44,750",320,+0.72%,"44,797",+32.09%,601,26
PLUS 선진국MSCI(합성 H),"13,655",5,-0.04%,"13,663",+7.86%,"15,175",207
KODEX 200IT TR,"12,785",85,+0.67%,"12,807",+31.81%,"10,417",133
KODEX 미국AI소프트웨어TOP10,"13,630",60,-0.44%,"13,592",N/A,"116,491","1,586"
TIGER 차이나반도체FACTSET,"6,690",20,+0.30%,"6,706",-1.40%,"37,107",248
RISE 컨택트대표,"7,885",110,+1.41%,"7,865",+23.06%,399,3
HANARO 32-10 국고채액티브,"57,740",125,+0.22%,"57,761",-1.50%,156,8
DAISHIN343 K200,"44,080",335,+0.77%,"44,147",+31.60%,"14,722",648
KODEX 200ESG,"16,915",185,+1.11%,"16,912",+30.88%,"7,619",128
FOCUS AI코리아액티브,"15,770",140,+0.90%,"15,788",+29.75%,432,6
KODEX 미국달러선물레버리지,"15,640",100,-0.64%,"15,629",-2.72%,"12,526",196
PLUS 200TR,"51,225",385,+0.76%,"51,273",+31.30%,"1,251",64
TIGER 구리실물,"12,170",70,+0.58%,"12,052",+3.82%,"41,264",501
KODEX 인도타타그룹,"8,955",25,-0.28%,"8,965",+0.34%,"14,939",133
WON 미국S&P500,"16,545",45,-0.27%,"16,496",+16.71%,"8,797",145
KoAct 미국나스닥성장기업액티브,"11,780",35,-0.30%,"11,713",+45.42%,"225,605","2,656"
KODEX 국채선물10년,"70,550",175,+0.25%,"70,570",-1.96%,"1,085",76
TIGER 게임TOP10,"6,010",60,+1.01%,"6,026",+21.68%,"110,681",666
HANARO Fn K-뉴딜디지털플러스,"8,035",65,+0.82%,"8,013",+16.78%,"3,960",31
RISE 글로벌리얼티인컴,"10,225",25,+0.25%,"10,225",+1.14%,"12,736",130
TIGER 차이나항셍테크레버리지(..,"9,065",240,+2.72%,"9,136",+23.77%,"80,347",729
KIWOOM 미국달러선물,"15,855",45,-0.28%,"15,842",-1.09%,"1,341",21
KODEX 미국S&P500배당귀족커버드..,"7,745",5,-0.06%,"7,706",-1.47%,"18,027",139
WON 단기국공채액티브,"54,020",10,-0.02%,"54,032",+0.72%,847,45
HANARO K-뷰티,"16,705",0,0.00%,"16,666",+35.14%,"175,065","2,910"
TIGER 인버스,"3,870",30,-0.77%,"3,867",-23.83%,"76,115",294
ACE 미국배당퀄리티,"10,730",70,-0.65%,"10,701",N/A,"32,005",343
TIGER 유로스탁스50(합성 H),"19,550",120,-0.61%,"19,530",+10.94%,"7,954",155
1Q 종합채권(AA-이상)액티브,"101,105",95,+0.09%,"101,106",-0.75%,37,3
WON 종합채권(AA-이상)액티브,"52,090",30,+0.06%,"52,096",-0.60%,559,29
RISE 미국반도체NYSE(H),"15,480",30,+0.19%,"15,428",+46.54%,"43,783",676
RISE 헬스케어,"15,360",175,-1.13%,"15,323",+13.89%,"979,032","14,949"
PLUS 글로벌원자력밸류체인,"13,550",430,+3.28%,"13,343",+69.40%,"214,083","2,892"
HANARO 글로벌생성형AI액티브,"23,650",45,+0.19%,"23,554",+45.13%,"22,771",538
TIGER 200 금융,"12,070",20,-0.17%,"12,110",+46.31%,"87,635","1,055"
KODEX 미국부동산리츠(H),"11,905",40,+0.34%,"11,891",+3.52%,"17,953",213
RISE 플랫폼테마,"8,855",80,-0.90%,"8,830",+23.58%,"13,248",117
KIWOOM 국고채10년레버리지,"113,445",455,+0.40%,"113,387",-4.13%,102,11
RISE 내수주플러스,"10,270",30,-0.29%,"10,291",+21.32%,"9,883",101
PLUS 미국장기우량회사채,"91,750",150,-0.16%,"91,453",+0.59%,"2,488",228
PLUS 미국단기회사채(AAA~A),"126,680",225,-0.18%,"126,432",-0.58%,481,60
TIMEFOLIO 미국나스닥100채권혼..,"10,990",20,-0.18%,"10,958",+18.39%,"244,825","2,690"
RISE 중국본토CSI300,"11,105",60,+0.54%,"11,195",+7.81%,"2,190",24
KODEX 한국대만IT프리미어,"29,215",5,+0.02%,"29,253",+34.48%,648,18
PLUS 코리아밸류업,"12,535",10,+0.08%,"12,587",+31.29%,"4,576",57
TIGER 인도니프티50레버리지(합..,"41,610",180,-0.43%,"41,709",+1.14%,"1,146",47
TIMEFOLIO 차이나AI테크액티브,"11,090",165,+1.51%,"11,046",N/A,"196,235","2,176"
TIGER 일본반도체FACTSET,"13,145",135,+1.04%,"13,148",+29.20%,"7,074",92
1Q 코리아밸류업,"12,540",15,+0.12%,"12,583",+30.80%,"15,224",191
KIWOOM 독일DAX,"16,930",240,-1.40%,"16,974",+14.30%,"6,991",118
RISE 5G테크,"12,520",0,0.00%,"12,535",+31.98%,"9,222",115
RISE 미국AI테크액티브,"11,370",55,-0.48%,"11,392",+40.18%,"5,634",64
RISE 게임테마,"9,085",25,+0.28%,"9,075",+15.05%,"13,875",125
WON 미국빌리어네어,"13,430",25,+0.19%,"13,352",+25.87%,"18,509",248
TIGER 글로벌클라우드컴퓨팅INDX..,"11,675",90,+0.78%,"11,707",+14.19%,"10,778",125
PLUS 미국나스닥테크,"38,485",85,+0.22%,"38,359",+30.14%,"1,589",60
TIMEFOLIO 코리아밸류업액티브,"12,500",90,+0.73%,"12,496",+36.22%,"53,791",668
RISE 미국30년국채액티브,"9,250",5,+0.05%,"9,213",-4.38%,"15,890",146
SOL 미국배당다우존스2호,"10,150",65,-0.64%,"10,119",+4.60%,"109,870","1,117"
KIWOOM 국고채3년,"110,910",65,+0.06%,"110,899",+0.19%,44,4
KODEX 차이나심천ChiNext(합성),"9,810",45,+0.46%,"9,990",+16.39%,"17,352",170
KODEX 200롱코스닥150숏선물,"10,310",85,+0.83%,"10,327",+12.49%,943,9
TIMEFOLIO K컬처액티브,"12,895",135,+1.06%,"12,909",+22.46%,"178,982","2,304"
ACE 인도네시아MSCI(합성),"8,470",90,-1.05%,"8,474",+5.94%,"55,949",474
KODEX 유럽탄소배출권선물ICE(H),"10,020",20,-0.20%,"9,995",+6.24%,"5,941",59
KODEX 3대농산물선물(H),"8,020",40,+0.50%,"8,028",-8.12%,"35,002",280
TIGER 글로벌AI사이버보안,"15,120",55,+0.37%,"15,019",+6.62%,"26,114",394
RISE TDF2050액티브,"14,045",35,-0.25%,"14,017",+12.42%,"32,843",461
SOL KIS단기통안채,"110,825",5,0.00%,"110,830",+0.64%,1,0
PLUS 일본반도체소부장,"13,635",185,+1.38%,"13,707",+29.41%,"7,842",106
TIGER 반도체TOP10레버리지,"6,790",80,+1.19%,"6,846",+65.07%,"275,725","1,869"
KODEX WTI원유선물인버스(H),"3,985",25,+0.63%,"3,993",-11.31%,"200,101",796
KIWOOM 미국S&P500(H),"15,780",0,0.00%,"15,749",+17.91%,"23,500",370
1Q 미국S&P500미국채혼합50액티..,"10,510",35,-0.33%,"10,478",N/A,"325,120","3,421"
KODEX 에너지화학,"11,920",285,+2.45%,"11,929",+28.63%,"342,728","4,084"
RISE 차이나HSCEI(H),"10,880",115,+1.07%,"10,931",+13.61%,"25,768",280
KODEX 미국S&P500헬스케어,"11,230",120,-1.06%,"11,164",-3.62%,"47,625",534
WON 미국우주항공방산,"21,355",95,-0.44%,"21,231",+34.52%,"34,231",731
HANARO 코리아밸류업,"12,575",30,-0.24%,"12,627",+31.74%,522,6
SOL 미국AI반도체칩메이커,"12,000",50,-0.41%,"11,936",+52.94%,"30,917",371
SOL 전고체배터리&실리콘음극재,"10,840",270,+2.55%,"10,873",+5.81%,"271,357","2,915"
마이티 다이나믹퀀트액티브,"15,525",100,+0.65%,"15,480",+34.21%,"1,021",15
PLUS 미국S&P500성장주,"11,595",40,-0.34%,"11,578",+24.23%,"18,908",219
KODEX 미국테크TOP3플러스,"13,560",25,-0.18%,"13,513",+34.15%,"7,122",96
HANARO 전력설비투자,"18,760",5,+0.03%,"18,796",+60.64%,"109,015","2,023"
TIGER 200커버드콜,"8,720",45,+0.52%,"8,774",+7.15%,"34,227",298
SOL 코스닥150,"13,420",35,-0.26%,"13,510",+16.54%,"2,625",35
KoAct 배당성장액티브,"11,815",25,-0.21%,"11,800",+28.31%,"35,613",419
KODEX 33-06 국고채액티브,"11,210",5,+0.04%,"11,220",-0.75%,"6,849",76
TIGER 유로스탁스배당30,"16,700",30,+0.18%,"16,547",+12.28%,"13,683",228
RISE 글로벌테크놀로지(합성 H),"34,400",175,-0.51%,"34,455",+30.92%,"1,493",51
TIGER 코스닥150바이오테크,"16,480",250,-1.49%,"16,516",+19.72%,"99,771","1,643"
KODEX 탄소효율그린뉴딜,"10,700",100,+0.94%,"10,708",+29.36%,"3,249",34
ACE 일본Nikkei225(H),"28,500",105,+0.37%,"28,487",+14.08%,"3,282",93
RISE 200선물레버리지,"23,295",345,+1.50%,"23,276",+70.70%,"46,522","1,079"
KODEX 미국S&P500테크놀로지,"15,930",0,0.00%,"15,817",+32.40%,"19,437",309
KODEX 차이나2차전지MSCI(합성),"7,270",150,+2.11%,"7,311",+13.92%,"29,391",212
KODEX 미국S&P500에너지(합성),"14,000",130,-0.92%,"13,933",+4.20%,"23,830",331
KODEX 일본TOPIX100,"22,285",70,-0.31%,"22,404",+3.63%,"3,665",81
KODEX 철강,"12,885",290,+2.30%,"12,936",+45.46%,"187,314","2,407"
TIGER 우선주,"14,485",35,+0.24%,"14,549",+41.85%,"55,152",797
KODEX 인도Nifty50레버리지(합성..,"16,745",0,0.00%,"16,752",+0.33%,"7,803",130
RISE 중장기국공채액티브,"111,615",190,+0.17%,"111,566",-0.08%,212,23
SOL 골드커버드콜액티브,"10,840",90,+0.84%,"10,779",-2.20%,"232,378","2,517"
ACE 코스닥150,"13,800",10,-0.07%,"13,859",+16.64%,"19,701",271
RISE 미국단기투자등급회사채액..,"12,065",35,-0.29%,"12,065",+0.12%,"10,936",132
TIGER 글로벌이노베이션액티브,"18,045",55,-0.30%,"17,994",+24.14%,"2,609",47
TIGER 200IT레버리지,"33,830",360,+1.08%,"33,857",+69.51%,"4,116",138
ACE 구글밸류체인액티브,"11,620",25,+0.22%,"11,543",+40.80%,"72,603",843
KODEX KRX300,"20,325",125,+0.62%,"20,335",+30.34%,"4,091",83
TIGER S&P글로벌헬스케어(합성),"21,610",150,-0.69%,"21,505",-3.01%,"3,868",83
KIWOOM 글로벌퓨처모빌리티,"12,730",200,+1.60%,"12,778",+22.90%,"29,261",372
KODEX 미국S&P500액티브,"12,005",35,-0.29%,"11,970",N/A,"29,982",360
TRUSTON 주주가치액티브,"15,845",275,-1.71%,"15,927",+37.95%,"71,202","1,130"
KODEX 글로벌로봇(합성),"19,680",60,-0.30%,"19,800",+24.39%,"7,127",140
ACE ESG액티브,"9,855",55,+0.56%,"9,886",+34.99%,"6,256",61
1Q 미국나스닥100,"10,705",35,-0.33%,"10,670",N/A,"242,808","2,601"
KODEX 미국금융테크액티브,"11,770",130,-1.09%,"11,737",N/A,"82,834",974
ACE 마이크로소프트밸류체인액티..,"13,020",15,-0.12%,"12,965",+32.47%,"24,862",323
TIGER 200 에너지화학,"12,510",200,+1.62%,"12,502",+40.16%,"72,587",904
TIGER 미국달러선물인버스2X,"5,535",25,+0.45%,"5,555",+2.89%,"5,778",31
KODEX 일본부동산리츠(H),"11,620",10,-0.09%,"11,620",+6.27%,"8,445",98
