종목명,현재가,전일비,등락률,NAV,3개월수익률,거래량,거래대금(백만)
SOL 미국양자컴퓨팅TOP10,17480,560,-3.1,17407,87.72,435919,7601
KODEX 미국나스닥AI테크액티브,17210,120,-0.69,17206,40.21,18697,321
ACE 포스코그룹포커스,5365,135,-2.45,5369,19.02,2007345,11045
TIGER 코스피고배당,19855,95,-0.48,19880,32.8,70150,1398
ACE 주주환원가치주액티브,16100,140,-0.86,16099,19.39,44168,713
KIWOOM 미국나스닥100(H),18545,10,0.05,18573,26.41,87788,1630
TIGER 200 헬스케어,20380,110,-0.54,20386,11.09,68297,1404
KODEX 글로벌비만치료제TOP2 Plus,9500,60,-0.63,9505,6.92,34389,325
KODEX 아시아달러채권ESG플러스액티브,60700,70,0.12,60652,0.47,590,35
ACE 글로벌인컴TOP10 SOLACTIVE,10925,20,0.18,10897,5.78,11016,120
ACE 중장기국공채액티브,109020,55,0.05,109080,0.02,20,2
TIGER 일본엔선물,8905,25,0.28,8900,-6.92,49309,438
KODEX WTI원유선물(H),14770,135,-0.91,14775,9.8,84957,1254
KODEX 코스피TR,16125,210,-1.29,16136,29.54,14964,242
WON 대한민국국고채액티브,58690,170,0.29,58698,-2.02,20016,1175
SOL 미국TOP5채권혼합40 Solactive,13845,5,0.04,13809,11.61,28698,397
KIWOOM 국고채30년액티브,64320,350,0.55,64434,-5.51,4803,309
KIWOOM 미국달러선물인버스,8435,15,0.18,8446,1.45,112,0
TIGER 글로벌비만치료제TOP2Plus,8780,75,-0.85,8766,0.27,36015,315
KODEX 미국달러선물,13945,10,-0.07,13957,-0.96,29112,405
TIGER 미국S&P500레버리지(합성 H),49140,60,-0.12,49196,42.42,5358,263
TIGER 미국나스닥바이오,22400,30,-0.13,22357,8.73,29442,656
KODEX 차이나H레버리지(H),2905,0,0.0,2914,29.69,174579,509
PLUS 미국채30년액티브,49830,185,0.37,49851,-2.41,9987,497
HANARO CAPEX설비투자iSelect,23480,800,-3.29,23486,62.15,23254,552
HANARO e커머스,12290,90,-0.73,12285,26.03,11195,137
KODEX Top10동일가중,8085,85,-1.04,8101,17.76,3566,28
SOL 한국형글로벌반도체액티브,21320,185,-0.86,21362,43.11,8476,181
KIWOOM 고배당,15395,30,-0.19,15416,35.71,193656,2986
TIGER 차이나HSCEI,13350,35,-0.26,13340,11.62,12070,161
ACE AI반도체포커스,15170,345,-2.22,15182,27.41,133899,2056
SOL 미국30년국채액티브(H),8705,20,0.23,8704,-1.08,25752,224
마이다스 코스피액티브,25805,345,-1.32,25886,28.69,731,18
RISE 미국달러SOFR금리액티브(합성),11625,15,-0.13,11666,-1.23,106,1
TIGER 배당성장,25585,255,-0.99,25595,35.17,29736,764
에셋플러스 글로벌플랫폼액티브,15080,155,-1.02,15113,39.96,14074,213
ACE 인도컨슈머파워액티브,9320,50,-0.53,9338,2.35,17381,162
KIWOOM 코리아밸류업,12445,185,-1.46,12448,31.11,5408,67
KODEX iShares미국하이일드액티브,11225,10,0.09,11222,2.32,97531,1093
HANARO 200선물레버리지,27330,840,-2.98,27368,72.72,7048,193
TIMEFOLIO 미국S&P500액티브,23740,265,-1.1,23766,34.9,33293,791
RISE 국고채3년,110000,20,-0.02,110029,0.2,204,22
ACE 200TR,28560,430,-1.48,28578,32.47,53355,1526
RISE 코리아금융고배당,14280,0,0.0,14278,46.3,438590,6254
KODEX 미국러셀2000(H),13180,105,-0.79,13192,19.31,10458,138
SOL 자동차TOP3플러스,10890,155,-1.4,10893,15.06,89772,981
KODEX 건설,4145,100,-2.36,4149,35.54,819320,3402
SOL 미국나스닥100,13525,5,0.04,13540,24.94,13497,182
아이엠에셋 200,43310,605,-1.38,43308,31.7,965,41
PLUS 우주항공&UAM,23675,570,-2.35,23688,36.17,22126,529
ACE 2월만기자동연장회사채AA-이상액티브,10575,10,0.09,10574,0.76,2028,21
KODEX 배당성장,20465,205,-0.99,20490,35.66,47064,969
ACE 삼성그룹섹터가중,16355,235,-1.42,16386,24.92,7162,118
PLUS 고배당주위클리고정커버드콜,12545,15,-0.12,12563,34.19,115649,1453
KODEX 친환경조선해운액티브,24730,190,0.77,24778,34.95,68276,1680
RISE 미국30년국채커버드콜(합성),8765,15,0.17,8772,-1.0,21086,184
KoAct 코리아밸류업액티브,12575,230,-1.8,12603,30.64,219474,2771
TIGER 엔비디아미국채커버드콜밸런스(합성),9545,55,-0.57,9609,14.96,49490,472
ACE 라이프자산주주가치액티브,13975,70,-0.5,13983,31.74,60599,848
TIGER 차이나전기차레버리지(합성),6350,80,1.28,6460,17.75,18374,116
KODEX 미국S&P500금융,17885,15,0.08,17976,9.75,15687,280
PLUS 국고채10년액티브,56265,140,0.25,56248,-1.6,20,1
TIGER 차이나바이오테크SOLACTIVE,8320,30,0.36,8318,35.02,69656,584
KODEX TDF2030액티브,13200,15,0.11,13188,5.14,200189,2640
KODEX 차이나H,23370,10,0.04,23320,11.72,11540,268
PLUS 단기채권액티브,117855,25,0.02,117857,0.74,2482,292
RISE 미국AI밸류체인TOP3Plus,14170,130,-0.91,14228,53.43,23718,336
RISE 금융채액티브,103790,25,0.02,103787,0.67,838,86
ACE 글로벌자율주행액티브,11755,35,0.3,11767,26.16,32284,378
KODEX 보험,12055,60,-0.5,12067,45.42,695452,8398
PLUS 글로벌방산,16295,210,-1.27,16274,12.79,42142,685
TIGER 200 건설,4295,120,-2.72,4299,46.82,811084,3510
KIWOOM 통안채1년,104665,15,0.01,104663,0.69,7337,767
ACE 5월만기자동연장회사채AA-이상액티브,10550,5,0.05,10549,0.62,50,0
HANARO MSCI Korea TR,17770,260,-1.44,17793,30.23,154,2
KODEX TDF2040액티브,14180,5,0.04,14168,8.32,41279,585
KODEX 미국S&P500산업재(합성),36095,260,-0.72,36194,18.67,4812,173
SOL 코리아밸류업TR,12615,205,-1.6,12647,31.22,43867,557
PLUS 선진국MSCI(합성 H),13625,30,-0.22,13690,9.5,10781,147
WON 200,44130,620,-1.39,44124,32.84,14274,632
TIGER 차이나반도체FACTSET,6655,35,-0.52,6703,-1.62,19119,127
KODEX 200IT TR,12550,235,-1.84,12571,32.56,11993,151
RISE 컨택트대표,7800,85,-1.08,7808,25.0,8958,70
HANARO 32-10 국고채액티브,57885,145,0.25,57829,-1.53,314,18
DAISHIN343 K200,43470,610,-1.38,43493,32.43,14650,637
TIGER 구리실물,12190,20,0.16,12199,4.02,34488,420
KODEX 200ESG,16615,300,-1.77,16664,31.42,3067,51
FOCUS AI코리아액티브,15560,210,-1.33,15599,30.86,36594,569
WON 미국S&P500,16510,35,-0.21,16519,18.14,11205,185
KODEX 인도타타그룹,8925,30,-0.34,8971,-0.5,8487,75
KODEX 미국달러선물레버리지,15615,25,-0.16,15629,-2.83,40655,632
KODEX 국채선물10년,70705,155,0.22,70715,-1.9,1588,112
HANARO K-뷰티,16760,55,0.33,16779,33.9,155850,2629
KoAct 미국나스닥성장기업액티브,11500,280,-2.38,11521,47.99,45678,525
RISE 글로벌리얼티인컴,10220,5,-0.05,10248,1.44,13442,137
TIGER 차이나항셍테크레버리지(합성 H),9070,5,0.06,9124,25.82,101134,919
HANARO Fn K-뉴딜디지털플러스,7930,105,-1.31,7947,18.16,943,7
KIWOOM 미국달러선물,15835,20,-0.13,15846,-0.81,1497,23
TIGER 게임TOP10,5950,60,-1.0,5955,23.66,55559,331
KODEX 미국S&P500배당귀족커버드콜(합성 H),7715,30,-0.39,7675,0.28,18569,143
WON 단기국공채액티브,54025,5,0.01,54035,0.69,1802,97
TIGER 인버스,3920,50,1.29,3920,-24.27,818521,3204
TIGER 유로스탁스50(합성 H),19410,140,-0.72,19465,8.43,50675,984
1Q 종합채권(AA-이상)액티브,101250,145,0.14,101278,-0.8,16,1
WON 종합채권(AA-이상)액티브,52225,135,0.26,52184,-0.83,57,2
TIMEFOLIO 미국나스닥100채권혼합50액티브,10900,90,-0.82,10915,18.75,134953,1471
RISE 미국반도체NYSE(H),15350,130,-0.84,15444,49.38,90450,1392
RISE 헬스케어,15245,115,-0.75,15246,12.78,9866,151
TIGER 200 금융,12015,55,-0.46,12044,44.03,66989,807
HANARO 글로벌생성형AI액티브,23280,370,-1.56,23352,47.11,29304,683
PLUS 글로벌원자력밸류체인,12920,630,-4.65,12897,76.55,211536,2733
KODEX 미국부동산리츠(H),11915,10,0.08,11922,4.55,9289,110
KIWOOM 국고채10년레버리지,114020,575,0.51,113922,-4.06,1111,126
RISE 내수주플러스,10270,0,0.0,10266,20.4,4926,50
PLUS 미국장기우량회사채,91960,210,0.23,92056,0.81,962,88
RISE 플랫폼테마,8595,260,-2.94,8593,22.82,26330,227
RISE 중국본토CSI300,11185,80,0.72,11272,7.87,3697,41
PLUS 미국단기회사채(AAA~A),126465,215,-0.17,126423,-0.7,661,83
TIGER 인도니프티50레버리지(합성),41640,30,0.07,41753,-1.29,569,23
PLUS 코리아밸류업,12390,145,-1.16,12424,30.85,1218,15
KODEX 한국대만IT프리미어,28640,575,-1.97,28753,33.98,4268,124
KIWOOM 독일DAX,17020,90,0.53,17058,13.3,10465,177
TIGER 일본반도체FACTSET,12955,190,-1.45,13114,30.99,16665,218
RISE 미국AI테크액티브,11265,105,-0.92,11346,41.33,9802,110
1Q 코리아밸류업,12370,170,-1.36,12421,31.09,7143,88
PLUS 미국나스닥테크,38385,100,-0.26,38622,32.69,3554,136
PLUS 미국나스닥테크,38385,100,-0.26,38600,32.69,3592,137
RISE 미국30년국채액티브,9285,35,0.38,9292,-2.83,41534,385
TIMEFOLIO 코리아밸류업액티브,12250,250,-2.0,12278,36.61,61805,760
TIGER 글로벌클라우드컴퓨팅INDXX,11555,120,-1.03,11686,17.87,4153,48
RISE 게임테마,8960,125,-1.38,8976,15.94,10948,98
PLUS 200TR,50540,685,-1.34,50528,32.26,671,34
SOL 미국배당다우존스2호,10090,60,-0.59,10083,5.38,99742,1005
KODEX 차이나심천ChiNext(합성),9910,100,1.02,10010,15.28,10445,103
WON 미국빌리어네어,13405,25,-0.19,13416,28.21,13934,186
KIWOOM 국고채3년,110950,40,0.04,110953,0.18,197,21
KODEX 200롱코스닥150숏선물,10315,5,0.05,10309,12.37,1354,13
TIMEFOLIO K컬처액티브,12880,15,-0.12,12879,24.53,209659,2724
ACE 인도네시아MSCI(합성),8430,40,-0.47,8478,6.34,30536,258
KODEX 유럽탄소배출권선물ICE(H),9980,40,-0.4,9989,4.48,12672,126
TIGER 글로벌AI사이버보안,15140,20,0.13,15142,9.41,16245,246
KODEX 3대농산물선물(H),7960,60,-0.75,7960,-7.82,17615,140
SOL KIS단기통안채,110825,0,0.0,110834,0.62,38,4
PLUS 일본반도체소부장,13665,30,0.22,13723,29.96,4122,56
RISE TDF2050액티브,13990,55,-0.39,14020,12.72,17851,250
KIWOOM 미국S&P500(H),15755,25,-0.16,15768,19.55,23257,366
RISE 차이나HSCEI(H),10860,20,-0.18,10932,15.19,33651,367
KODEX 에너지화학,11855,65,-0.55,11867,31.79,87289,1043
TIGER 반도체TOP10레버리지,6510,280,-4.12,6520,64.01,502161,3328
KODEX 미국S&P500헬스케어,11155,75,-0.67,11094,-3.36,76718,850
KODEX WTI원유선물인버스(H),4015,30,0.75,4022,-11.35,272073,1091
SOL 미국AI반도체칩메이커,11940,60,-0.5,11996,54.84,25575,305
HANARO 코리아밸류업,12445,130,-1.03,12465,30.81,476,5
WON 미국우주항공방산,20875,480,-2.25,20861,34.27,39089,815
PLUS 미국S&P500성장주,11595,0,0.0,11599,25.32,7534,87
SOL 전고체배터리&실리콘음극재,10585,255,-2.35,10597,8.08,291373,3131
KODEX 미국테크TOP3플러스,13520,40,-0.29,13554,36.17,8300,112
마이티 다이나믹퀀트액티브,15235,290,-1.87,15247,34.68,25,0
KODEX 차이나2차전지MSCI(합성),7420,150,2.06,7437,15.4,65150,476
KODEX 33-06 국고채액티브,11235,25,0.22,11240,-0.84,14066,158
TIGER 200커버드콜,8645,75,-0.86,8694,7.51,24178,209
TIGER 코스닥150바이오테크,16400,80,-0.49,16418,19.99,95031,1579
TIGER 유로스탁스배당30,16705,5,0.03,16595,11.25,7083,118
RISE 글로벌테크놀로지(합성 H),34410,10,0.03,34529,33.44,743,25
KoAct 배당성장액티브,11680,135,-1.14,11717,28.31,121944,1425
SOL 코스닥150,13205,215,-1.6,13316,17.51,2771,36
HANARO 전력설비투자,18285,475,-2.53,18286,61.92,227672,4171
ACE 일본Nikkei225(H),28355,145,-0.51,28443,15.97,31880,908
KODEX 일본TOPIX100,22340,55,0.25,22443,3.76,8014,179
KODEX 미국S&P500테크놀로지,15895,35,-0.22,15831,33.79,29799,479
KODEX 탄소효율그린뉴딜,10520,180,-1.68,10557,30.58,2397,25
KODEX 인도Nifty50레버리지(합성),16815,70,0.42,16829,-1.64,5603,94
RISE 중장기국공채액티브,111635,20,0.02,111663,-0.0,3,0
SOL 골드커버드콜액티브,10910,70,0.65,10926,-2.65,301814,3293
KODEX 철강,12780,105,-0.81,12781,49.3,172061,2208
TIGER 우선주,14395,90,-0.62,14426,41.93,42786,618
RISE 200선물레버리지,22650,645,-2.77,22639,72.81,27288,628
RISE 미국단기투자등급회사채액티브,12075,10,0.08,12068,-0.33,16047,193
KODEX 미국S&P500에너지(합성),13620,380,-2.71,13771,3.9,30801,420
TIGER 글로벌이노베이션액티브,17965,80,-0.44,18025,26.63,1951,35
ACE 코스닥150,13585,215,-1.56,13665,17.15,33103,454
KIWOOM 글로벌퓨처모빌리티,12665,65,-0.51,12756,25.91,7875,99
KODEX KRX300,19990,335,-1.65,20039,30.77,12559,253
TIGER S&P글로벌헬스케어(합성),21395,215,-0.99,21361,-1.26,7833,167
TRUSTON 주주가치액티브,15815,30,-0.19,15856,35.08,8325,132
TIGER 200IT레버리지,32495,1335,-3.95,32571,70.43,8492,280
KODEX 글로벌로봇(합성),19520,160,-0.81,19698,23.7,16402,320
ACE ESG액티브,9745,110,-1.12,9762,35.2,107,1
KODEX 일본부동산리츠(H),11665,45,0.39,11667,6.09,20641,240
TIGER 미국달러선물인버스2X,5550,15,0.27,5559,2.5,3710,20
TIGER 200 에너지화학,12440,70,-0.56,12474,42.19,72026,905
PLUS KOFR금리,107980,10,0.01,107991,0.63,304,32
KODEX 차이나A50,22620,210,0.94,22577,7.3,22948,514
PLUS 코스피50,28930,570,-1.93,29015,30.13,4888,142
KODEX 게임산업,7260,100,-1.36,7270,14.62,48895,356
TIGER AI코리아그로스액티브,16055,135,-0.83,16055,30.14,8181,131
TIGER 은행,12620,60,-0.47,12646,45.18,65469,828
KODEX 국채선물3년인버스,55505,20,-0.04,55523,1.06,1,0
HANARO Fn K-푸드,12735,75,-0.59,12771,9.87,65617,839
ACE 일본TOPIX레버리지(H),44360,140,0.32,44350,24.88,410,18
TIGER 미국나스닥100ETF선물,11025,55,-0.5,10941,24.35,1132,12
HK 200,43650,560,-1.27,43752,32.05,39,1
KIWOOM 글로벌AI반도체,18125,145,-0.79,18145,50.66,25733,467
KODEX 미국나스닥100선물인버스(H),6905,0,0.0,6890,-21.53,186179,1283
KODEX 53-09 국고채액티브,12285,60,0.49,12290,-4.72,8518,104
KODEX iShares미국투자등급회사채액티브,11170,15,0.13,11160,0.72,12421,138
TIGER TSMC파운드리밸류체인,17055,185,-1.07,17082,40.13,7326,125
KODEX IT,17750,360,-1.99,17763,27.86,5580,99
RISE 차이나항셍테크,8350,15,-0.18,8371,10.07,5238,43
SOL 국고채3년,103305,55,0.05,103284,0.11,1276,131
KIWOOM 미국성장기업30액티브,15630,115,-0.73,15660,26.09,315,4
PLUS 미국S&P500,16175,30,-0.19,16176,17.92,4943,79
KoAct 미국천연가스인프라액티브,8945,275,-2.98,8945,5.3,43478,389
ACE 구글밸류체인액티브,11640,20,0.17,11645,42.75,65790,764
TIGER 미국방산TOP10,10910,75,-0.68,10927,11.35,51630,563
PLUS 애플채권혼합,12165,90,0.75,12205,1.38,45953,559
KCGI 미국S&P500 TOP10,12905,10,0.08,12926,29.47,14566,188
KODEX 인도Nifty미드캡100,11060,5,-0.05,11100,6.14,7008,77
KODEX 테슬라밸류체인FactSet,15590,5,0.03,15689,33.03,9528,148
ACE FTSE WGBI Korea,101015,245,0.24,100974,-2.27,65,6
KODEX 차이나AI테크액티브,12910,115,-0.88,12914,16.5,19391,251
BNK 주주가치액티브,18130,190,-1.04,18200,29.7,727,13
ACE 차이나항셍테크,8220,75,-0.9,8314,9.87,433181,3557
TIGER 미국AI반도체팹리스,13120,45,0.34,13133,54.17,27841,365
ACE 마이크로소프트밸류체인액티브,12985,35,-0.27,13000,33.81,29759,386
KODEX KRX300레버리지,19155,570,-2.89,19256,70.04,2677,51
KODEX 웹툰&드라마,3450,65,-1.85,3454,21.0,24605,85
SOL 반도체전공정,8565,175,-2.0,8588,20.72,66049,571
TIGER 모멘텀,44615,535,-1.18,44693,37.93,31169,1391
KODEX S&P글로벌인프라(합성),19740,185,-0.93,19849,6.1,2017,39
RISE 200금융,16040,35,-0.22,16072,44.72,21025,339
KIWOOM 팔란티어미국30년국채혼합액티브(H),10250,90,-0.87,10434,8.52,51668,531
파워 코스피100,32460,465,-1.41,32486,31.45,271,8
PLUS 일본엔화초단기국채(합성),10075,25,0.25,10079,-7.16,25745,259
PLUS 미국다우존스고배당주(합성 H),17580,30,-0.17,17721,7.28,4662,82
RISE 200고배당커버드콜ATM,9680,5,0.05,9722,17.29,10511,101
RISE 글로벌주식분산액티브,14685,15,-0.1,14712,14.09,40106,588
HANARO 고배당,17590,65,-0.37,17624,31.77,20322,359
HANARO 글로벌럭셔리S&P(합성),20195,175,-0.86,20351,18.81,2760,55
PLUS 미국배당증가성장주데일리커버드콜,9210,35,-0.38,9206,10.76,11299,104
에셋플러스 코리아플랫폼액티브,8310,30,-0.36,8338,23.28,1543,12
TIGER 리츠부동산인프라채권,4720,10,-0.21,4717,1.59,5349,25
TIGER 리츠부동산인프라채권,4720,10,-0.21,4717,1.59,5349,25
ACE 미국달러단기채권액티브,11575,5,-0.04,11570,-1.19,21251,245
RISE 미국반도체NYSE,16450,155,-0.93,16535,46.78,59995,987
KODEX 자율주행액티브,8005,130,-1.6,8015,19.84,10153,81
PLUS 국고채30년액티브,116585,670,0.58,116509,-5.01,22,2
KODEX 필수소비재,8525,5,0.06,8531,23.71,38087,325
파워 K-주주가치액티브,13100,140,-1.06,13160,32.11,756,9
PLUS 국채선물3년,57205,60,0.1,57181,0.04,14000,800
PLUS 우량회사채50,120940,30,0.02,120930,0.56,1015,122
ACE 미국IT인터넷S&P(합성 H),21070,95,0.45,21179,26.51,282,5
VITA MZ소비액티브,11225,5,0.04,11291,21.49,26470,300
UNICORN SK하이닉스밸류체인액티브,12015,280,-2.28,12037,39.56,151855,1838
KODEX 200가치저변동,13995,180,-1.27,13962,31.58,149211,2093
KODEX 코스피대형주,15260,215,-1.39,15264,29.81,36875,569
TIGER 원유선물Enhanced(H),4210,45,-1.06,4213,8.68,33898,142
에셋플러스 차이나일등기업포커스10액티브,15975,0,0.0,15888,24.08,5210,82
TIGER 차이나클린에너지SOLACTIVE,6000,180,3.09,6031,5.34,8319,49
HANARO Fn전기&수소차,7870,190,-2.36,7898,26.37,6452,51
ACE 아시아TOP50S&P,19390,60,-0.31,19358,22.14,4471,86
1Q 차이나H(H),16405,45,-0.27,16445,16.3,581,9
RISE 미국고정배당우선증권,11230,165,-1.45,11377,3.22,6621,74
HANARO 코스닥150,13555,180,-1.31,13592,17.44,1230,16
KODEX 차이나과창판STAR50(합성),8085,120,1.51,8263,-3.16,7951,64
WON 반도체밸류체인액티브,11160,290,-2.53,11207,37.45,5242,59
RISE 삼성그룹Top3채권혼합,10100,45,-0.44,10113,3.31,46924,476
RISE 테슬라미국채타겟커버드콜혼합(합성),8930,25,0.28,8944,6.8,2979,26
KIWOOM 코스닥150,6720,95,-1.39,6763,17.4,7539,51
TIGER KEDI혁신기업ESG30,11845,110,-0.92,11871,21.85,7842,93
RISE 채권혼합,65925,75,-0.11,65891,8.23,842,55
TRUSTON 코리아밸류업액티브,12945,140,-1.07,13011,33.25,4196,54
ACE 러시아MSCI(합성),8535,0,0.0,49,0.0,0,0
DAISHIN343 AI반도체&인프라액티브,9245,250,-2.63,9285,27.02,960,8
TIGER 글로벌멀티에셋TIF액티브,11115,30,-0.27,11113,5.51,1617,17
ACE 일본반도체,11865,50,-0.42,11939,20.41,222371,2655
RISE 미국S&P원유생산기업(합성 H),5600,230,-3.95,5656,17.19,139956,781
ACE 글로벌AI맞춤형반도체,12255,25,0.2,12284,46.91,16058,196
KIWOOM 25-09 미국채권(AA-이상)액티브,54615,20,-0.04,54618,-0.85,2865,156
RISE 바이오TOP10액티브,12230,130,-1.05,12250,16.17,53415,660
RISE V&S셀렉트밸류채권혼합,12695,25,-0.2,12660,10.46,10730,136
ACE 레버리지,10090,270,-2.61,10072,73.24,27534,281
KODEX 미국S&P500유틸리티,13645,160,1.19,13656,5.67,6299,85
TIMEFOLIO 글로벌소비트렌드액티브,11545,50,0.43,11571,24.4,3854,44
RISE 미국S&P배당킹,10660,90,-0.84,10690,1.62,23196,247
RISE 헬스케어채권혼합,12395,80,-0.64,12454,4.35,41160,513
KODEX 미국ETF산업Top10 Indxx,17490,150,-0.85,17495,10.27,4210,73
PLUS 미국테크TOP10레버리지(합성),29665,170,0.58,29764,78.54,5555,163
PLUS TDF2060액티브,15700,10,-0.06,15656,14.71,10246,160
KODEX 200 중소형,18420,190,-1.02,18476,39.18,9759,180
TIGER K게임,7520,75,-0.99,7535,15.43,21776,164
SOL 의료기기소부장Fn,13330,170,1.29,13334,17.76,92112,1237
KODEX 기계장비,10605,375,-3.42,10652,45.55,43980,470
KIWOOM 미국달러선물레버리지,14815,25,-0.17,14813,-3.1,47,0
KODEX 미국S&P바이오(합성),25595,305,-1.18,25646,12.07,5515,141
TIGER 농산물선물Enhanced(H),5305,45,-0.84,5300,-5.39,6743,35
PLUS 태양광&ESS,16715,275,-1.62,16683,64.39,30916,520
KODEX 200exTOP,15710,135,-0.85,15689,34.5,7988,125
SOL 반도체후공정,11725,250,-2.09,11700,30.86,36788,432
KIWOOM KRX100,6675,80,-1.18,6677,30.86,1878,12
RISE 글로벌수소경제,8160,20,-0.24,8188,38.88,9177,75
RISE 미국휴머노이드로봇,12590,125,-0.98,12614,32.31,15301,192
ACE TDF2050액티브,10590,20,-0.19,10580,11.98,19895,210
ACE 2차전지&친환경차액티브,6555,105,-1.58,6580,16.21,37922,251
KODEX 구리선물(H),9170,0,0.0,9189,15.71,28968,265
에셋플러스 코리아대장장이액티브,15195,260,-1.68,15246,30.2,4197,63
KODEX 우량주,10390,185,-1.75,10428,27.3,99,1
RISE 200선물인버스2X,1336,31,2.38,1337,-43.51,253112,337
KODEX MSCI Korea,19220,370,-1.89,19225,30.89,547,10
에셋플러스 글로벌일등기업포커스10액티브,16765,5,0.03,16770,29.57,1711,28
TIGER 퓨처모빌리티액티브,7230,145,-1.97,7262,16.05,7240,52
PLUS 글로벌수소&차세대연료전지,3625,0,0.0,3628,30.4,29027,105
RISE 5대그룹주,6610,80,-1.2,6621,23.52,21338,142
KODEX 코스닥글로벌,13170,135,-1.01,13170,22.18,4003,53
HANARO Fn K-게임,4460,25,-0.56,4442,15.3,4508,20
RISE 배터리 리사이클링,8750,200,-2.23,8772,15.25,23640,210
ACE 코스피,32750,520,-1.56,32812,29.85,6719,221
TIGER 미국캐시카우100,12455,40,-0.32,12448,10.74,3364,41
KODEX 모멘텀주,18585,275,-1.46,18629,34.91,1000,18
에셋플러스 글로벌대장장이액티브,20980,25,-0.12,20992,32.86,1066,22
ACE 미국하이일드액티브(H),9975,15,0.15,9907,3.83,27574,274
KODEX 유럽명품TOP10 STOXX,9950,65,-0.65,9972,4.42,12815,127
ACE 멕시코MSCI(합성),14350,180,-1.24,14439,10.66,1597,22
TIGER 글로벌자원생산기업(합성 H),15160,5,-0.03,15421,7.59,2070,31
ITF 200,42940,665,-1.53,42968,32.3,156,6
HANARO 200 TOP10,8800,110,-1.23,8814,19.65,830,7
HANARO 200 TOP10,8780,130,-1.46,8819,19.65,875,7
KIWOOM 블루칩,10480,30,-0.29,10487,27.81,215,2
KODEX 미국S&P500필수소비재,11940,60,-0.5,12020,-2.4,5620,67
ACE 미국친환경그린테마INDXX,9270,0,0.0,9299,18.69,858,7
KODEX iShares미국인플레이션국채액티브,10965,5,0.05,10963,-0.18,12380,135
RISE 국채30년레버리지(합성),24975,265,1.07,24920,-10.89,771,19
ACE 국고채3년,103755,20,0.02,103770,0.16,2130,221
FOCUS ESG리더스,13820,160,-1.14,13864,30.74,34,0
RISE 중국MSCI China(H),10360,35,0.34,10383,15.36,4383,45
ACE 글로벌브랜드TOP10블룸버그,17730,85,-0.48,17732,14.92,1009,17
TIGER LG그룹+펀더멘털,7475,0,0.0,7477,25.76,70648,529
TIGER 한중반도체(합성),16495,190,-1.14,16586,9.41,20,0
에셋플러스 글로벌영에이지액티브,19735,100,-0.5,19738,34.7,607,11
TIGER 일본TOPIX(합성 H),24175,95,-0.39,24291,13.02,85,2
TREX 펀더멘탈 200,48310,580,-1.19,48255,33.6,2,0
HANARO KOFR금리액티브(합성),108280,5,0.0,108275,0.67,4,0
파워 고배당저변동성,44105,265,-0.6,44305,32.89,1334,59
RISE 유로스탁스50(H),14860,80,-0.54,14942,8.46,1687,25
TIGER 차이나항셍30,21605,0,0.0,21623,10.54,5483,118
KODEX 가치주,13200,165,-1.23,13232,33.74,15574,206
마이티 코스피100,32845,535,-1.6,32830,31.57,385,12
KIWOOM 물가채KIS,117180,270,0.23,117048,-0.73,203,23
KODEX 미국S&P500경기소비재,16735,10,0.06,16784,18.17,219,3
KIWOOM 미국달러선물인버스2X,4830,20,0.42,4848,2.34,1228,5
HK 베스트일레븐액티브,12240,20,-0.16,12066,27.91,12,0
TIGER 탄소효율그린뉴딜,10500,135,-1.27,10521,29.66,6189,65
TIGER 차이나CSI300인버스(합성),7155,60,-0.83,7188,-5.56,2449,17
HANARO 미국S&P500,16350,25,-0.15,16353,17.92,1466,23
PLUS 미국테크TOP10,19065,35,-0.18,19174,33.93,3733,71
KODEX 운송,6020,65,-1.07,6046,26.11,69021,418
PLUS 200선물레버리지,45690,1315,-2.8,45739,73.16,1340,62
ACE 애플밸류체인액티브,10870,5,0.05,10870,27.15,30961,336
ACE 코리아밸류업,12645,225,-1.75,12711,31.13,8335,106
TIGER MKF배당귀족,16150,130,-0.8,16186,25.62,5506,89
ACE 인도시장대표BIG5그룹액티브,8610,65,-0.75,8660,1.82,10076,87
KIWOOM 200선물레버리지,22385,615,-2.67,22384,72.74,41797,955
KODEX 기후변화솔루션,12380,170,-1.35,12423,37.26,5129,63
PLUS 글로벌휴머노이드로봇액티브,11700,105,-0.89,11802,20.34,30946,364
KODEX 미국S&P500커뮤니케이션,17065,160,0.95,17082,16.81,10696,182
RISE 중소형고배당,15735,90,-0.57,15756,35.88,4472,70
ACE 골드선물 레버리지(합성 H),36520,655,1.83,36449,-4.91,4274,156
TIGER S&P글로벌인프라(합성),15610,30,-0.19,15823,4.99,220,3
RISE 국채선물10년,55745,140,0.25,55748,-1.99,1064,59
KODEX 대만테크고배당다우존스,9795,165,-1.66,9772,20.62,17790,174
ACE 삼성그룹동일가중,21415,190,-0.88,21477,30.94,1205,25
ACE 장기자산배분액티브,10705,5,-0.05,10707,14.85,546,5
TIMEFOLIO K이노베이션액티브,8835,95,-1.06,8887,19.54,7847,70
에셋플러스 인도일등기업포커스20액티브,10810,10,0.09,10839,3.35,463,4
VITA 밸류알파액티브,15130,170,-1.11,15177,19.44,16359,251
PLUS 고배당저변동50,16235,135,-0.82,16304,27.82,10072,164
HANARO 주주가치성장코리아액티브,13170,160,-1.2,13220,36.44,959,12
